drug	gene
Debrisoquine	CYP2D6
Debrisoquine	SLC6A2
Decamethonium	ACHE
Decamethonium	BCHE
Decamethonium	CHRNA2
Decamethonium	CHRNA4
Decamethonium	CHRNB2
Decitabine	CDA
Decitabine	CMPK1
Decitabine	DCK
Decitabine	DNMT1
Decitabine	DNMT3A
Decitabine	DNMT3B
Decitabine	NME1
Decitabine	SLC28A1
Deferasirox	CYP1A2
Deferasirox	CYP2C8
Deferasirox	CYP3A4
Deferasirox	UGT1A1
Deferasirox	UGT1A3
Deferasirox	UGT1A9
Deferiprone	UGT1A6
Deferoxamine	APP
Deferoxamine	XDH
Defibrotide	ADORA1
Defibrotide	ADORA2A
Defibrotide	ADORA2B
Deflazacort	CYP3A4
Deflazacort	CYP3A5
Deflazacort	NR3C1
Degarelix	GNRHR
Delafloxacin	ABCB5
Delafloxacin	ABCG2
Delafloxacin	ALB
Delafloxacin	CYP2C9
Delafloxacin	CYP2E1
Delafloxacin	CYP3A4
Delafloxacin	UGT1A1
Delafloxacin	UGT1A3
Delafloxacin	UGT2B15
Delamanid	ALB
Delamanid	CYP3A4
Delamanid	ORM1
Delavirdine	CYP2C19
Delavirdine	CYP2C9
Delavirdine	CYP2D6
Delavirdine	CYP3A4
Delavirdine	CYP3A5
Delavirdine	CYP3A7
Demecarium	ACHE
Demecarium	BCHE
Demeclocycline	AVPR2
Denileukin diftitox	IL2RA
Denileukin diftitox	IL2RB
Denileukin diftitox	IL2RG
Denosumab	TNFSF11
Deoxycholic acid	ABCB11
Deoxycholic acid	EFTUD1
Deoxycholic acid	GPBAR1
Deoxycholic acid	GSTP1
Deoxycholic acid	NR1H4
Deoxycholic acid	SLC10A1
Deoxycholic acid	SLC10A2
Deoxycholic acid	SLCO1A2
Dequalinium	CNGA1
Dequalinium	KCNMA1
Dequalinium	XIAP
Deserpidine	SLC18A2
Desflurane	ALB
Desflurane	ATP2C1
Desflurane	ATP5D
Desflurane	CYP2E1
Desflurane	GABRA1
Desflurane	GLRA1
Desflurane	GRIA1
Desflurane	KCNA1
Desflurane	MT-ND1
Desipramine	ABCB1
Desipramine	ADRA1A
Desipramine	ADRA2A
Desipramine	ADRB1
Desipramine	ADRB2
Desipramine	CHRM1
Desipramine	CHRM2
Desipramine	CHRM3
Desipramine	CHRM4
Desipramine	CHRM5
Desipramine	CYP1A2
Desipramine	CYP2B6
Desipramine	CYP2D6
Desipramine	CYP2E1
Desipramine	CYP3A4
Desipramine	DRD2
Desipramine	HRH1
Desipramine	HTR1A
Desipramine	HTR2A
Desipramine	HTR2C
Desipramine	ORM1
Desipramine	SLC22A1
Desipramine	SLC22A2
Desipramine	SLC22A3
Desipramine	SLC22A4
Desipramine	SLC22A5
Desipramine	SLC6A2
Desipramine	SLC6A4
Desipramine	SMPD1
Desirudin	CPA1
Deslanoside	ATP1A1
Desloratadine	ABCB1
Desloratadine	HRH1
Desmopressin	AVPR1A
Desmopressin	AVPR1B
Desmopressin	AVPR2
Desmopressin	PTGS1
Desmopressin	PTGS2
Desogestrel	ALB
Desogestrel	CYP2C9
Desogestrel	CYP3A4
Desogestrel	ESR1
Desogestrel	PGR
Desogestrel	SHBG
Desogestrel	UGT1A1
Desonide	CYP3A4
Desonide	NR3C1
Desoximetasone	NR3C1
Desoxycorticosterone acetate	CYP3A4
Desoxycorticosterone acetate	NR3C2
Desvenlafaxine	CYP2D6
Desvenlafaxine	CYP3A4
Desvenlafaxine	SLC6A2
Desvenlafaxine	SLC6A3
Desvenlafaxine	SLC6A4
Deutetrabenazine	CBR1
Deutetrabenazine	CBR3
Deutetrabenazine	CYP1A2
Deutetrabenazine	CYP2D6
Deutetrabenazine	CYP3A4
Deutetrabenazine	CYP3A5
Deutetrabenazine	SLC18A2
Dexamethasone	ABCB1
Dexamethasone	ABCB11
Dexamethasone	ABCC2
Dexamethasone	ABCG2
Dexamethasone acetate	ABCB1
Dexamethasone acetate	ABCB11
Dexamethasone acetate	ABCC2
Dexamethasone acetate	ABCG2
Dexamethasone acetate	ALB
Dexamethasone acetate	ANXA1
Dexamethasone acetate	CYP11B1
Dexamethasone acetate	CYP17A1
Dexamethasone acetate	CYP1A1
Dexamethasone acetate	CYP2A6
Dexamethasone acetate	CYP2B6
Dexamethasone acetate	CYP2C19
Dexamethasone acetate	CYP2C8
Dexamethasone acetate	CYP2E1
Dexamethasone acetate	CYP3A4
Dexamethasone acetate	CYP3A43
Dexamethasone acetate	CYP3A5
Dexamethasone acetate	CYP3A7
Dexamethasone acetate	CYP4A11
Dexamethasone acetate	HSD11B1
Dexamethasone acetate	HSD11B2
Dexamethasone acetate	NOS2
Dexamethasone acetate	NR0B1
Dexamethasone acetate	NR1I2
Dexamethasone acetate	NR3C1
Dexamethasone acetate	SLC22A8
Dexamethasone acetate	SLCO1A2
Dexamethasone	ALB
Dexamethasone	ANXA1
Dexamethasone	CYP11B1
Dexamethasone	CYP17A1
Dexamethasone	CYP1A1
Dexamethasone	CYP2A6
Dexamethasone	CYP2B6
Dexamethasone	CYP2C19
Dexamethasone	CYP2C8
Dexamethasone	CYP2E1
Dexamethasone	CYP3A4
Dexamethasone	CYP3A43
Dexamethasone	CYP3A5
Dexamethasone	CYP3A7
Dexamethasone	CYP4A11
Dexamethasone	HSD11B1
Dexamethasone	HSD11B2
Dexamethasone	NOS2
Dexamethasone	NR0B1
Dexamethasone	NR1I2
Dexamethasone	NR3C1
Dexamethasone	SLC22A8
Dexamethasone	SLCO1A2
Dexbrompheniramine	HRH1
Dexchlorpheniramine maleate	CYP2D6
Dexchlorpheniramine maleate	CYP3A4
Dexchlorpheniramine maleate	HRH1
Dexchlorpheniramine maleate	SLC22A1
Dexchlorpheniramine maleate	SLC22A2
Dexfenfluramine	CYP1A2
Dexfenfluramine	CYP2D6
Dexfenfluramine	CYP2E1
Dexfenfluramine	HTR2C
Dexfenfluramine	SLC6A4
Dexibuprofen	ABCB1
Dexibuprofen	ABCC1
Dexibuprofen	ABCC4
Dexibuprofen	ALB
Dexibuprofen	AMACR
Dexibuprofen	BCL2
Dexibuprofen	CFTR
Dexibuprofen	CYP2C19
Dexibuprofen	CYP2C8
Dexibuprofen	CYP2C9
Dexibuprofen	FABP2
Dexibuprofen	GP1BA
Dexibuprofen	PLAT
Dexibuprofen	PPARA
Dexibuprofen	PPARG
Dexibuprofen	PTGS1
Dexibuprofen	PTGS2
Dexibuprofen	S100A7
Dexibuprofen	SLC15A1
Dexibuprofen	SLC22A11
Dexibuprofen	SLC22A6
Dexibuprofen	SLC22A8
Dexibuprofen	SLCO1A2
Dexibuprofen	SLCO2B1
Dexibuprofen	THBD
Dexibuprofen	UGT1A1
Dexibuprofen	UGT1A3
Dexibuprofen	UGT1A9
Dexibuprofen	UGT2B4
Dexibuprofen	UGT2B7
Dexketoprofen	PTGS1
Dexketoprofen	PTGS2
Dexlansoprazole	ATP4A
Dexlansoprazole	ATP4B
Dexlansoprazole	CYP2C19
Dexlansoprazole	CYP3A4
Dexlansoprazole	DDAH1
Dexmedetomidine	ADRA2A
Dexmedetomidine	CYP1A1
Dexmedetomidine	CYP1A2
Dexmedetomidine	CYP2D6
Dexmedetomidine	CYP2E1
Dexmethylphenidate	SLC6A2
Dexmethylphenidate	SLC6A3
Dexmethylphenidate	SLC6A4
Dexrazoxane	TOP2A
Dexrazoxane	TOP2B
Dextroamphetamine	ADRA1A
Dextroamphetamine	ADRA1B
Dextroamphetamine	CYP2D6
Dextroamphetamine	SLC18A2
Dextroamphetamine	SLC6A2
Dextroamphetamine	SLC6A3
Dextroamphetamine	TAAR1
Dextromethorphan	CHRNA2
Dextromethorphan	CHRNA3
Dextromethorphan	CHRNA4
Dextromethorphan	CHRNA7
Dextromethorphan	CHRNB2
Dextromethorphan	CHRNB4
Dextromethorphan	CYBB
Dextromethorphan	CYP2B6
Dextromethorphan	CYP2C19
Dextromethorphan	CYP2C9
Dextromethorphan	CYP2D6
Dextromethorphan	CYP3A4
Dextromethorphan	CYP3A7
Dextromethorphan	GRIN3A
Dextromethorphan	OPRD1
Dextromethorphan	OPRK1
Dextromethorphan	OPRM1
Dextromethorphan	PGRMC1
Dextromethorphan	SIGMAR1
Dextromethorphan	SLC6A2
Dextromethorphan	SLC6A4
Dextromethorphan	UGT2B15
Dextromethorphan	UGT2B17
Dextromethorphan	UGT2B4
Dextromethorphan	UGT2B7
Dextropropoxyphene	CES1
Dextropropoxyphene	CYP2D6
Dextropropoxyphene	CYP3A4
Dextropropoxyphene	OPRD1
Dextropropoxyphene	OPRK1
Dextropropoxyphene	OPRM1
Dextrose, unspecified form	GCK
Dextrose, unspecified form	HK1
Dextrose, unspecified form	SLC2A1
Dextrose, unspecified form	SLC2A10
Dextrose, unspecified form	SLC2A11
Dextrose, unspecified form	SLC2A12
Dextrose, unspecified form	SLC2A2
Dextrose, unspecified form	SLC2A3
Dextrose, unspecified form	SLC2A4
Dextrose, unspecified form	SLC2A6
Dextrose, unspecified form	SLC2A7
Dextrose, unspecified form	SLC2A8
Dextrose, unspecified form	SLC2A9
Dextrose, unspecified form	SLC5A1
Dextrothyroxine	SLC7A5
Dextrothyroxine	SLCO1B1
Dextrothyroxine	SLCO1C1
Dextrothyroxine	SLCO4A1
Dextrothyroxine	SLCO4C1
Dextrothyroxine	THRA
Dextrothyroxine	THRB
Dextrothyroxine	TPO
Dezocine	OPRK1
Dezocine	OPRM1
D-glucose	ALB
D-glucose	GCK
D-glucose	HK1
D-glucose	SLC2A1
D-glucose	SLC2A10
D-glucose	SLC2A11
D-glucose	SLC2A12
D-glucose	SLC2A2
D-glucose	SLC2A3
D-glucose	SLC2A4
D-glucose	SLC2A5
D-glucose	SLC2A6
D-glucose	SLC2A7
D-glucose	SLC2A8
D-glucose	SLC2A9
D-glucose	SLC5A1
D-glucose	SLC5A2
Diacerein	ALOX5
Diacerein	CYP1A2
Diacerein	CYP2C9
Diacerein	CYP2D6
Diacerein	CYP2E1
Diacerein	CYP3A4
Diacerein	NR1H2
Diacerein	NR1H3
Diamorphine	CES1
Diamorphine	OPRD1
Diamorphine	OPRK1
Diamorphine	OPRM1
Diamorphine	SERPINA7
Diazepam	ABCB1
Diazepam	ALB
Diazepam	CYP2B6
Diazepam	CYP2C18
Diazepam	CYP2C19
Diazepam	CYP2C8
Diazepam	CYP2C9
Diazepam	CYP2E1
Diazepam	CYP3A4
Diazepam	CYP3A5
Diazepam	CYP3A7
Diazepam	GABRA1
Diazepam	PTGS1
Diazoxide	ATP1A1
Diazoxide	CA1
Diazoxide	CA2
Diazoxide	GLUL
Diazoxide	KCNJ11
Diazoxide	KCNMA1
Dibotermin alfa	BMPR1A
Dibotermin alfa	BMPR2
Dichloroacetic acid	GSTZ1
Dichloroacetic acid	PDK1
Dichlorobenzene	CYP2E1
Dichlorobenzyl alcohol	SCN1A
Diclofenac	ABCB1
Diclofenac	ABCB11
Diclofenac	ABCC1
Diclofenac	ABCC4
Diclofenac	ALB
Diclofenac	ALOX5
Diclofenac	ASIC1
Diclofenac	CYP1A2
Diclofenac	CYP2B6
Diclofenac	CYP2C18
Diclofenac	CYP2C19
Diclofenac	CYP2C8
Diclofenac	CYP2C9
Diclofenac	CYP2E1
Diclofenac	CYP3A4
Diclofenac	KCNQ2
Diclofenac	KCNQ3
Diclofenac	PLA2G2A
Diclofenac	PTGS1
Diclofenac	PTGS2
Diclofenac	SCN4A
Diclofenac	SLC22A11
Diclofenac	SLC22A6
Diclofenac	SLC22A8
Diclofenac	SLCO1B1
Diclofenac	SLCO1C1
Diclofenac	TTR
Diclofenac	UGT1A3
Diclofenac	UGT1A9
Diclofenac	UGT2B4
Diclofenac	UGT2B7
Diclofenamide	CA1
Diclofenamide	CA2
Diclofenamide	CA3
Diclofenamide	CA4
Diclofenamide	CA7
Dicloxacillin	CYP3A4
Dicloxacillin	SLC15A1
Dicloxacillin	SLC15A2
Dicoumarol	ALB
Dicoumarol	CRYZ
Dicoumarol	CYP2C9
Dicoumarol	NQO1
Dicoumarol	VKORC1
Dicyclomine	CHRM1
Dicyclomine	CHRM2
Dicyclomine	CHRM3
Didanosine	ALB
Didanosine	PNP
Didanosine	SLC22A6
Didanosine	SLC29A1
Didanosine	SLC29A2
Dienestrol	ESR1
Dienestrol	SHBG
Dienogest	AR
Dienogest	CYP3A4
Dienogest	PGR
Diethylcarbamazine	ALOX5
Diethylcarbamazine	BCHE
Diethylcarbamazine	PTGS1
Diethylpropion	SLC6A2
Diethylpropion	SLC6A3
Diethylstilbestrol	ABCB1
Diethylstilbestrol	ABCB11
Diethylstilbestrol	ABCG2
Diethylstilbestrol	AR
Diethylstilbestrol	COMT
Diethylstilbestrol	CYP19A1
Diethylstilbestrol	CYP2C8
Diethylstilbestrol	CYP2C9
Diethylstilbestrol	CYP2E1
Diethylstilbestrol	CYP3A4
Diethylstilbestrol	ESR1
Diethylstilbestrol	ESR2
Diethylstilbestrol	ESRRA
Diethylstilbestrol	ESRRB
Diethylstilbestrol	ESRRG
Diethylstilbestrol	NCOA2
Diethylstilbestrol	NR1I2
Diethylstilbestrol	SHBG
Diethylstilbestrol	SLCO1B1
Diethylstilbestrol	SLCO2B1
Diethylstilbestrol	TTR
Difelikefalin	OPRK1
Diflorasone	NR3C1
Diflunisal	ALB
Diflunisal	PTGS1
Diflunisal	PTGS2
Diflunisal	SLC22A6
Diflunisal	TTR
Diflunisal	UGT1A8
Diflunisal	UGT1A9
Difluocortolone	ANXA3
Difluocortolone	CYP3A4
Difluocortolone	CYP3A5
Difluocortolone	NR3C1
Difluprednate	CYP3A4
Difluprednate	NR3C1
Digitoxin	ABCB1
Digitoxin	ALB
Digitoxin	ATP1A1
Digitoxin	CYP11A1
Digitoxin	CYP3A4
Digitoxin	SLCO1A2
Digitoxin	SLCO4C1
Digoxin	ABCB1
Digoxin	ABCB11
Digoxin	ATP1A1
Digoxin	CYP11A1
Digoxin	SLC51A
Digoxin	SLC51B
Digoxin	SLCO1A2
Digoxin	SLCO1B1
Digoxin	SLCO4C1
Dihydralazine	CYP1A2
Dihydro-alpha-ergocryptine	CYP3A4
Dihydro-alpha-ergocryptine	DRD1
Dihydro-alpha-ergocryptine	DRD2
Dihydro-alpha-ergocryptine	DRD3
Dihydrocodeine	CYP2D6
Dihydrocodeine	CYP3A4
Dihydroergocornine	ADRA1A
Dihydroergocornine	ADRB1
Dihydroergocornine	CYP3A4
Dihydroergocornine	HTR1A
Dihydroergocristine	ABCB11
Dihydroergocristine	ADRA1A
Dihydroergocristine	ADRB1
Dihydroergocristine	CYP3A4
Dihydroergocristine	DRD1
Dihydroergocristine	HTR1A
Dihydroergotamine	ABCB1
Dihydroergotamine	ADRA1A
Dihydroergotamine	ADRA2A
Dihydroergotamine	ADRB3
Dihydroergotamine	CYP3A4
Dihydroergotamine	DRD2
Dihydroergotamine	DRD3
Dihydroergotamine	DRD4
Dihydroergotamine	HTR1A
Dihydroergotamine	HTR1B
Dihydroergotamine	HTR1D
Dihydroergotamine	HTR1E
Dihydroergotamine	HTR1F
Dihydroergotamine	HTR2A
Dihydroergotamine	HTR2B
Dihydroergotamine	HTR2C
Dihydroergotamine	HTR4
Dihydrotachysterol	VDR
Diltiazem	ABCB1
Diltiazem	ALB
Diltiazem	CACNA1C
Diltiazem	CACNG1
Diltiazem	CYP2C19
Diltiazem	CYP2C8
Diltiazem	CYP2D6
Diltiazem	CYP3A4
Diltiazem	CYP3A5
Diltiazem	CYP3A7
Diltiazem	ORM1
Dimenhydrinate	HRH1
Dimercaprol	APP
Dimethyl fumarate	KEAP1
Dimethyl fumarate	RELA
Dimethyl sulfoxide	CYP2C19
Dimethyl sulfoxide	CYP2D6
Dimethyl sulfoxide	CYP3A4
Dimethyl sulfoxide	TTR
Dimetindene	CHRM2
Dimetindene	HRH1
Dinoprostone	ABCC4
Dinoprostone	ABCC5
Dinoprostone	PTGDR2
Dinoprostone	PTGER1
Dinoprostone	PTGER2
Dinoprostone	PTGER3
Dinoprostone	PTGER4
Dinoprostone	SLC22A11
Dinoprostone	SLC22A2
Dinoprostone	SLC22A6
Dinoprostone	SLC22A7
Dinoprostone	SLC22A8
Dinoprostone	SLC51A
Dinoprostone	SLC51B
Dinoprostone	SLCO1A2
Dinoprostone	SLCO1B1
Dinoprostone	SLCO1C1
Dinoprostone	SLCO2A1
Dinoprostone	SLCO2B1
Dinoprostone	SLCO3A1
Dinoprostone	SLCO4A1
Dinoprost	PTGDR2
Dinoprost tromethamine	PTGFR
Dinoprost tromethamine	PTGIR
Dinoprost tromethamine	SLC22A11
Dinoprost tromethamine	SLC22A2
Dinoprost tromethamine	SLC22A6
Dinoprost tromethamine	SLC22A7
Dinoprost tromethamine	SLC22A8
Dinoprost tromethamine	SLCO2A1
Dinoprost tromethamine	SLCO3A1
Diosmin	ABCB1
Diosmin	AHR
Diosmin	ALB
Diosmin	CYP1A1
Diosmin	CYP2C9
Diosmin	CYP2E1
Diosmin	CYP3A4
Diosmin	SLCO1B1
Diosmin	SLCO1B3
Diosmin	SLCO2B1
Dioxybenzone	SHBG
Diphemanil	CHRM3
Diphenhydramine	CHRM2
Diphenhydramine	CYP2C19
Diphenhydramine	CYP2C9
Diphenhydramine	CYP2D6
Diphenhydramine	HRH1
Diphenhydramine	PTGS1
Diphenhydramine	SLC22A2
Diphenhydramine	SLC22A5
Diphenidol	CHRM1
Diphenidol	CHRM2
Diphenidol	CHRM3
Diphenoxylate	OPRD1
Diphenoxylate	OPRM1
Diphenylpyraline	HRH1
Diphenylpyraline	SLC6A3
Dipivefrin	ACHE
Dipivefrin	ADRA1A
Dipivefrin	ADRA2A
Dipivefrin	ADRB2
Dipivefrin	BCHE
Dipyridamole	ABCB1
Dipyridamole	ABCB11
Dipyridamole	ABCC4
Dipyridamole	ABCC5
Dipyridamole	ADA
Dipyridamole	ORM1
Dipyridamole	PDE10A
Dipyridamole	PDE4A
Dipyridamole	PDE5A
Dipyridamole	RCAN1
Dipyridamole	SLCO1B1
Dipyridamole	SLCO1B3
Dipyridamole	SLCO2B1
Dipyrithione	NOS2
Dipyrithione	PTGS2
Diroximel fumarate	CHRNA10
Disopyramide	CHRM1
Disopyramide	CHRM2
Disopyramide	CHRM3
Disopyramide	CYP1A2
Disopyramide	CYP3A4
Disopyramide	KCND2
Disopyramide	KCND3
Disopyramide	KCNH2
Disopyramide	ORM1
Disopyramide	ORM2
Disopyramide	SCN5A
Disopyramide	SLC22A1
Disopyramide	SLC22A2
Disulfiram	ABCB11
Disulfiram	ALDH2
Disulfiram	CYP2E1
Disulfiram	CYP3A4
Disulfiram	CYP3A5
Disulfiram	DBH
DL-Methylephedrine	ADRA1A
DL-Methylephedrine	ADRA2A
DL-Methylephedrine	ADRB1
D-Methionine	METAP2
Dobutamine	ADRA1A
Dobutamine	ADRB1
Dobutamine	ADRB2
Dobutamine	COMT
Dobutamine	ESR1
Docetaxel	ABCB1
Docetaxel	ABCC1
Docetaxel	ABCC10
Docetaxel	ABCC2
Docetaxel	ABCG2
Docetaxel	BCL2
Docetaxel	CYP1B1
Docetaxel	CYP3A4
Docetaxel	CYP3A5
Docetaxel	CYP3A7
Docetaxel	MAP2
Docetaxel	MAP4
Docetaxel	MAPT
Docetaxel	NR1I2
Docetaxel	SLC22A7
Docetaxel	SLCO1B3
Docetaxel	TUBB1
Doconexent	CYP2C9
Doconexent	PPARA
Doconexent	PPARG
Doconexent	RXRA
Doconexent	RXRB
Doconexent	RXRG
Doconexent	SREBF1
Dofetilide	CYP3A4
Dofetilide	KCNH2
Dofetilide	KCNJ12
Dofetilide	KCNK2
Dofetilide	SLC22A2
Dolasetron	CYP2C9
Dolasetron	CYP2D6
Dolasetron	CYP3A4
Dolasetron	HTR3A
Dolutegravir	ABCB1
Dolutegravir	ABCG2
Dolutegravir	CYP3A4
Dolutegravir	SLC22A2
Dolutegravir	SLC22A6
Dolutegravir	SLC22A8
Dolutegravir	SLC47A1
Dolutegravir	UGT1A1
Dolutegravir	UGT1A3
Dolutegravir	UGT1A9
Domperidone	ABCB1
Domperidone	CYP1A2
Domperidone	CYP2B6
Domperidone	CYP2C8
Domperidone	CYP2D6
Domperidone	CYP3A4
Domperidone	CYP3A5
Domperidone	CYP3A7
Domperidone	DRD2
Domperidone	DRD3
Donepezil	ABCG2
Donepezil	ACHE
Donepezil	BCHE
Donepezil	CYP2C9
Donepezil	CYP2D6
Donepezil	CYP3A4
Donepezil	GRIN1
Donepezil	HTR2A
Donepezil	IL1B
Donepezil	NFKB2
Donepezil	NOS1
Donepezil	TNFAIP6
Dopamine	COMT
Dopamine	DBH
Dopamine	DRD1
Dopamine	DRD2
Dopamine	DRD3
Dopamine	DRD4
Dopamine	DRD5
Dopamine	HTR1A
Dopamine	HTR3A
Dopamine	HTR3B
Dopamine	HTR7
Dopamine	MAOA
Dopamine	MAOB
Dopamine	POU5F1
Dopamine	SLC18A2
Dopamine	SLC22A1
Dopamine	SLC22A2
Dopamine	SLC22A3
Dopamine	SLC22A5
Dopamine	SLC6A2
Dopamine	SLC6A3
Dopamine	SLC6A4
Dopamine	SOD1
Doravirine	CYP3A4
Doravirine	CYP3A5
Doripenem	DPEP1
Doripenem	SLC22A8
Dorzolamide	CA1
Dorzolamide	CA2
Dorzolamide	CA3
Dorzolamide	CA4
Dorzolamide	CYP2C9
Dorzolamide	CYP2E1
Dostarlimab	PDCD1
Dosulepin	ADRA1A
Dosulepin	ADRA2A
Dosulepin	CHRM1
Dosulepin	CHRM2
Dosulepin	CHRM3
Dosulepin	CHRM4
Dosulepin	CHRM5
Dosulepin	CYP1A2
Dosulepin	CYP2C19
Dosulepin	CYP2C9
Dosulepin	CYP2D6
Dosulepin	HRH1
Dosulepin	HTR1A
Dosulepin	HTR2A
Dosulepin	SLC6A2
Dosulepin	SLC6A4
Dotatate gallium Ga-68	SSTR2
Doxacurium	BCHE
Doxacurium	CHRM2
Doxacurium	CHRNA2
Doxapram	KCNK3
Doxapram	KCNK9
Doxazosin	ABCB1
Doxazosin	ADRA1A
Doxazosin	ADRA1B
Doxazosin	ADRA1D
Doxazosin	CYP2C19
Doxazosin	CYP2C9
Doxazosin	CYP2D6
Doxazosin	CYP3A4
Doxazosin	KCNH2
Doxazosin	SLC22A1
Doxepin	ABCB1
Doxepin	ADRA1A
Doxepin	ADRA1B
Doxepin	ADRA1D
Doxepin	ALB
Doxepin	CHRM1
Doxepin	CHRM2
Doxepin	CHRM3
Doxepin	CHRM4
Doxepin	CHRM5
Doxepin	CYP1A2
Doxepin	CYP2C19
Doxepin	CYP2C9
Doxepin	CYP2D6
Doxepin	CYP3A4
Doxepin	HRH1
Doxepin	HRH2
Doxepin	HRH4
Doxepin	HTR1A
Doxepin	HTR2A
Doxepin	HTR2B
Doxepin	HTR2C
Doxepin	HTR6
Doxepin	KCNH2
Doxepin	ORM1
Doxepin	SLC6A2
Doxepin	SLC6A4
Doxercalciferol	CYP27A1
Doxercalciferol	VDR
Doxorubicin	ABCB1
Doxorubicin	ABCB11
Doxorubicin	ABCB8
Doxorubicin	ABCC1
Doxorubicin	ABCC10
Doxorubicin	ABCC2
Doxorubicin	ABCC3
Doxorubicin	ABCC6
Doxorubicin	ABCG2
Doxorubicin	AKR1A1
Doxorubicin	AKR1C3
Doxorubicin	ALB
Doxorubicin	CBR1
Doxorubicin	CBR3
Doxorubicin	CYP1B1
Doxorubicin	CYP2B6
Doxorubicin	CYP2D6
Doxorubicin	CYP3A4
Doxorubicin	NDUFS2
Doxorubicin	NDUFS3
Doxorubicin	NDUFS7
Doxorubicin	NOLC1
Doxorubicin	NOS1
Doxorubicin	NOS2
Doxorubicin	NOS3
Doxorubicin	NQO1
Doxorubicin	POR
Doxorubicin	RALBP1
Doxorubicin	SLC22A16
Doxorubicin	TOP2A
Doxorubicin	XDH
Doxycycline	ABCB5
Doxycycline	CYP3A4
Doxycycline	SLC22A6
Doxylamine	CHRM1
Doxylamine	CYP2B
Doxylamine	HRH1
Doxylamine	NR1I3
Dronabinol	ABCB1
Dronabinol	ABCG2
Dronabinol	CNR1
Dronabinol	CNR2
Dronabinol	CYP2C9
Dronabinol	CYP3A4
Dronabinol	PTGS1
Dronedarone	ABCB1
Dronedarone	ADRA1A
Dronedarone	ADRA1B
Dronedarone	ADRA1D
Dronedarone	ADRA2A
Dronedarone	ADRA2B
Dronedarone	ADRA2C
Dronedarone	ADRB1
Dronedarone	ALB
Dronedarone	CACNA1C
Dronedarone	CACNA1D
Dronedarone	CACNA1F
Dronedarone	CACNA1S
Dronedarone	CACNB1
Dronedarone	CACNB2
Dronedarone	CACNB3
Dronedarone	CACNB4
Dronedarone	CYP2D6
Dronedarone	CYP2J2
Dronedarone	CYP3A4
Dronedarone	CYP3A5
Dronedarone	KCND3
Dronedarone	KCNH2
Dronedarone	KCNJ12
Dronedarone	KCNJ3
Dronedarone	KCNK2
Dronedarone	KCNQ1
Dronedarone	SCN5A
Dronedarone	SLC22A1
Dronedarone	SLC22A2
Dronedarone	SLC22A8
Dronedarone	SLC8A1
Dronedarone	SLCO1B1
Dronedarone	SLCO1B3
Dronedarone	THRA
Droperidol	ADRA1A
Droperidol	DRD2
Drospirenone	AR
Drospirenone	CYP3A4
Drospirenone	NR3C1
Drospirenone	NR3C2
Drospirenone	PGR
Drospirenone	PON1
Drospirenone	PTGS2
Drotaverine	CACNA1C
Drotaverine	PDE4A
Drotrecogin alfa	F2
Drotrecogin alfa	F5
Drotrecogin alfa	F8
Drotrecogin alfa	PF4
Drotrecogin alfa	PROCR
Drotrecogin alfa	PROS1
Drotrecogin alfa	SERPINA5
Drotrecogin alfa	SERPINB6
Drotrecogin alfa	SERPINE1
Drotrecogin alfa	THBD
Droxidopa	ADRA1A
Droxidopa	ADRA1B
Droxidopa	ADRA1D
Droxidopa	ADRA2A
Droxidopa	ADRA2B
Droxidopa	ADRA2C
Droxidopa	ADRB1
Droxidopa	ADRB2
Droxidopa	ADRB3
Droxidopa	DDC
Droxidopa	PAH
Droxidopa	SLC16A10
Droxidopa	SLC6A2
D-Serine	GLRA1
D-Serine	GRIN1
D-Serine	SERPINB3
D-Serine	SLC16A10
D-Serine	SLC6A14
Dulaglutide	GLP1R
Duloxetine	ABCB1
Duloxetine	ALB
Duloxetine	CYP1A2
Duloxetine	CYP2B6
Duloxetine	CYP2C19
Duloxetine	CYP2C9
Duloxetine	CYP2D6
Duloxetine	CYP3A4
Duloxetine	ORM1
Duloxetine	SLC6A2
Duloxetine	SLC6A3
Duloxetine	SLC6A4
Dupilumab	IL4R
Durvalumab	CD274
Dutasteride	ALB
Dutasteride	CYP3A5
Dutasteride	ORM1
Dutasteride	SRD5A1
Dutasteride	SRD5A2
Duvelisib	ABCB1
Duvelisib	ABCG2
Duvelisib	CYP3A4
Duvelisib	PIK3CD
Duvelisib	PIK3CG
Dyclonine	SCN10A
Dydrogesterone	CYP3A4
Dydrogesterone	PGR
Dyphylline	ADORA1
Dyphylline	ADORA2A
Dyphylline	PDE4A
Dyphylline	PDE4B
Dyphylline	PDE4C
Dyphylline	PDE4D
Ebastine	CYP3A4
Ecallantide	KLKB1
Echinacea	CYP3A4
Echothiophate	ALB
Echothiophate	BCHE
Econazole	CYP19A1
Econazole	CYP2E1
Econazole	CYP3A4
Econazole	NR1I2
Eculizumab	C5
Edaravone	SLC22A6
Edaravone	SLC22A8
Edetate calcium disodium anhydrous	ADA
Edetate calcium disodium anhydrous	CYP19A1
Edetate calcium disodium anhydrous	CYP3A4
Edetate calcium disodium anhydrous	PON1
Edetate calcium disodium anhydrous	PON3
Edetate disodium anhydrous	ADA
Edetate disodium anhydrous	CYP19A1
Edetate disodium anhydrous	CYP3A4
Edetate disodium anhydrous	PON1
Edetate disodium anhydrous	PON3
Edetic acid	ADA
Edetic acid	CYP19A1
